League: National Hockey League - Season: 2024-25              ,Date: 12.3.24
--------------------------------------------------------------
Regular Season
--------------------------------------------------------------
Name                                                          ,Team         ,Pos    ,GP,G ,A ,P ,+/-,PIM,PPg ,PPa  ,PPp,SHg,SHa,SHp,GWG ,GT,FG,EN,SOG,Sh  ,HT ,GA,TA,FO  ,SB,2 ,5,Mi,Ma,GM,FI,FW,ATOI ,APPT,APKT,+ ,- ,FS,Av R,
Matt Niskanen                                                 ,Edmonton     ,RD/LD  ,30,2 ,13,15,11 ,8  ,0   ,3    ,3  ,0  ,0  ,0  ,1   ,1 ,0 ,0 ,57 ,3.5 ,66 ,11,20,0   ,66,4 ,0,0 ,0 ,0 ,0 ,0 ,22:53,2:31,3:01,34,23,1 ,7.60,
Ryan Ellis                                                    ,Nashville    ,RD     ,21,2 ,13,15,7  ,10 ,0   ,6    ,6  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,40 ,5.0 ,21 ,11,4 ,0   ,45,5 ,0,0 ,0 ,0 ,0 ,0 ,23:22,3:38,2:33,19,12,0 ,7.86,
Ville Heinola                                                 ,Winnipeg     ,LD/RD  ,28,2 ,13,15,8  ,16 ,1   ,4    ,5  ,0  ,0  ,0  ,0   ,0 ,2 ,0 ,59 ,3.4 ,63 ,18,24,0   ,49,8 ,0,0 ,0 ,0 ,0 ,0 ,23:17,2:55,1:34,27,19,0 ,7.46,
Josh Morrissey                                                ,Winnipeg     ,LD/RD  ,28,1 ,14,15,-9 ,8  ,1   ,7    ,8  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,74 ,1.4 ,65 ,10,22,0   ,51,4 ,0,0 ,0 ,0 ,0 ,0 ,25:00,3:58,1:49,25,34,0 ,7.75,
Madison Bowey                                                 ,Vegas        ,RD     ,29,0 ,15,15,6  ,20 ,0   ,5    ,5  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,49 ,0.0 ,61 ,17,15,0   ,71,10,0,0 ,0 ,0 ,0 ,0 ,23:11,2:05,2:43,26,20,0 ,7.62,
Joakim Nygård                                                 ,Washington   ,LW     ,22,10,4 ,14,4  ,4  ,1   ,0    ,1  ,0  ,0  ,0  ,2   ,0 ,3 ,0 ,33 ,30.3,20 ,3 ,3 ,0   ,10,2 ,0,0 ,0 ,0 ,0 ,0 ,13:05,0:18,0:00,15,11,2 ,7.36,
Ondrej Kase                                                   ,Arizona      ,RW/LW  ,28,9 ,5 ,14,0  ,4  ,4   ,0    ,4  ,0  ,0  ,0  ,2   ,0 ,0 ,0 ,54 ,16.7,34 ,7 ,4 ,0   ,8 ,2 ,0,0 ,0 ,0 ,0 ,0 ,14:57,2:21,0:02,18,18,0 ,7.18,
Mikael Granlund                                               ,NY Rangers   ,C/RW   ,22,6 ,8 ,14,-3 ,6  ,4   ,1    ,5  ,0  ,0  ,0  ,0   ,1 ,1 ,0 ,37 ,16.2,30 ,11,11,0.54,29,3 ,0,0 ,0 ,0 ,0 ,0 ,19:28,2:59,3:05,10,13,1 ,7.09,
Brayden Schenn                                                ,St. Louis    ,LW/C/RW,29,6 ,8 ,14,-12,6  ,2   ,1    ,3  ,0  ,1  ,1  ,0   ,0 ,1 ,0 ,60 ,10.0,69 ,7 ,6 ,0.09,30,3 ,0,0 ,0 ,0 ,0 ,0 ,18:48,2:53,2:38,17,29,0 ,7.17,
Alex Iafallo                                                  ,Florida      ,LW/C   ,24,6 ,8 ,14,5  ,26 ,1   ,2    ,3  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,27 ,22.2,34 ,3 ,4 ,0   ,4 ,8 ,0,1 ,0 ,0 ,0 ,0 ,11:42,0:14,0:00,14,9 ,1 ,7.21,
Carson Lombardi                                               ,San Jose     ,C/RW   ,26,6 ,8 ,14,-8 ,48 ,1   ,2    ,3  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,24 ,25.0,50 ,3 ,1 ,0.40,24,14,2,0 ,1 ,0 ,1 ,0 ,12:20,0:31,0:03,14,22,0 ,6.35,
Ryan O'Reilly                                                 ,Chicago      ,C      ,15,5 ,9 ,14,7  ,2  ,3   ,2    ,5  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,28 ,17.9,27 ,2 ,13,0.60,6 ,1 ,0,0 ,0 ,0 ,0 ,0 ,17:28,2:36,2:15,12,5 ,0 ,7.27,
Brett Connolly                                                ,Edmonton     ,RW/LW  ,30,5 ,9 ,14,-1 ,6  ,0   ,4    ,4  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,88 ,5.7 ,61 ,11,2 ,0.13,19,3 ,0,0 ,0 ,0 ,0 ,0 ,17:46,2:02,1:39,15,16,1 ,7.13,
Pierre-Luc Dubois                                             ,Columbus     ,C/LW   ,27,5 ,9 ,14,-5 ,8  ,2   ,2    ,4  ,0  ,1  ,1  ,1   ,0 ,1 ,0 ,48 ,10.4,63 ,10,9 ,0.56,24,4 ,0,0 ,0 ,0 ,0 ,0 ,18:57,2:23,3:13,15,20,0 ,6.81,
Ruslan Solomatin                                              ,Columbus     ,RW     ,26,5 ,9 ,14,-4 ,10 ,2   ,2    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,59 ,8.5 ,46 ,4 ,1 ,0   ,7 ,5 ,0,0 ,0 ,0 ,0 ,0 ,14:05,2:02,0:06,14,18,0 ,7.27,
Gustav Nyquist                                                ,Montreal     ,RW/LW  ,28,5 ,9 ,14,3  ,12 ,0   ,1    ,1  ,0  ,0  ,0  ,0   ,1 ,0 ,0 ,60 ,8.3 ,43 ,4 ,4 ,0   ,10,6 ,0,0 ,0 ,0 ,0 ,0 ,15:14,2:49,0:03,18,15,1 ,7.32,
Ryan Pulock                                                   ,NY Islanders ,RD     ,26,5 ,9 ,14,17 ,16 ,2   ,2    ,4  ,0  ,0  ,0  ,1   ,0 ,2 ,0 ,61 ,8.2 ,64 ,13,25,0   ,61,8 ,0,0 ,0 ,0 ,0 ,0 ,25:15,3:01,3:16,36,19,2 ,7.62,
Dylan Cozens                                                  ,Buffalo      ,C/RW   ,28,5 ,9 ,14,-5 ,22 ,1   ,1    ,2  ,0  ,0  ,0  ,1   ,0 ,3 ,0 ,52 ,9.6 ,65 ,7 ,21,0.63,39,11,0,0 ,0 ,0 ,0 ,0 ,18:31,1:30,1:49,14,19,0 ,6.61,
Ty Smith                                                      ,New Jersey   ,LD/RD  ,26,4 ,10,14,11 ,2  ,2   ,5    ,7  ,0  ,0  ,0  ,2   ,0 ,2 ,0 ,48 ,8.3 ,43 ,13,28,0   ,41,1 ,0,0 ,0 ,0 ,0 ,0 ,22:46,2:52,2:30,22,11,1 ,7.77,
Tyson Barrie                                                  ,Toronto      ,RD     ,30,3 ,11,14,13 ,2  ,2   ,5    ,7  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,63 ,4.8 ,45 ,15,17,0   ,51,1 ,0,0 ,0 ,0 ,0 ,0 ,21:45,3:13,2:29,28,15,0 ,7.63,
Nate Schmidt                                                  ,Vegas        ,LD/RD  ,17,3 ,11,14,8  ,4  ,1   ,5    ,6  ,0  ,2  ,2  ,0   ,0 ,0 ,0 ,28 ,10.7,21 ,12,8 ,0   ,33,2 ,0,0 ,0 ,0 ,0 ,0 ,24:12,3:25,3:21,20,12,0 ,7.71,
Markus Nutivaara                                              ,Columbus     ,LD     ,27,3 ,11,14,-1 ,8  ,1   ,5    ,6  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,46 ,6.5 ,47 ,13,38,0   ,67,4 ,0,0 ,0 ,0 ,0 ,0 ,23:07,2:22,3:07,19,20,2 ,7.48,
Mattias Ekholm                                                ,Detroit      ,LD     ,28,3 ,11,14,0  ,10 ,0   ,4    ,4  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,47 ,6.4 ,81 ,11,32,0   ,62,5 ,0,0 ,0 ,0 ,0 ,0 ,24:04,3:18,2:49,25,25,2 ,7.68,
Dylan Strome                                                  ,Chicago      ,C      ,27,3 ,11,14,-6 ,20 ,2   ,3    ,5  ,0  ,0  ,0  ,1   ,1 ,1 ,0 ,33 ,9.1 ,47 ,7 ,6 ,0.60,17,10,0,0 ,0 ,0 ,0 ,0 ,17:44,2:12,1:30,14,20,1 ,6.52,
Michael McCarron                                              ,Tampa Bay    ,RW/C   ,27,3 ,11,14,-1 ,37 ,0   ,0    ,0  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,27 ,11.1,79 ,7 ,3 ,0   ,18,6 ,3,1 ,0 ,0 ,3 ,2 ,13:27,0:01,0:41,16,17,3 ,7.44,
T.J. Brodie                                                   ,Calgary      ,LD/RD  ,29,2 ,12,14,4  ,4  ,1   ,6    ,7  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,59 ,3.4 ,42 ,18,21,0   ,51,2 ,0,0 ,0 ,0 ,0 ,0 ,24:53,3:00,3:24,30,26,0 ,7.17,
Brenden Dillon                                                ,Washington   ,LD     ,28,2 ,12,14,2  ,18 ,0   ,3    ,3  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,21 ,9.5 ,92 ,14,17,0   ,56,9 ,0,0 ,0 ,0 ,0 ,0 ,20:00,0:25,2:32,26,24,0 ,7.25,
Alex Pietrangelo                                              ,St. Louis    ,RD     ,29,1 ,13,14,2  ,2  ,1   ,3    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,48 ,2.1 ,72 ,9 ,36,0   ,81,1 ,0,0 ,0 ,0 ,0 ,0 ,24:45,3:05,2:49,31,29,0 ,7.69,
Oliver Ekman-Larsson                                          ,Buffalo      ,LD/RD  ,26,1 ,13,14,1  ,6  ,0   ,3    ,3  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,63 ,1.6 ,58 ,15,10,0   ,44,3 ,0,0 ,0 ,0 ,0 ,0 ,24:19,3:25,3:23,24,23,2 ,7.65,
Jonathan Marchessault                                         ,Columbus     ,LW/RW  ,22,8 ,5 ,13,0  ,26 ,4   ,3    ,7  ,0  ,0  ,0  ,0   ,1 ,2 ,0 ,50 ,16.0,33 ,12,3 ,0.09,13,8 ,0,1 ,0 ,0 ,0 ,0 ,17:57,2:19,2:21,12,12,0 ,6.91,
Brendan Gallagher                                             ,Montreal     ,RW     ,24,7 ,6 ,13,1  ,2  ,0   ,0    ,0  ,0  ,0  ,0  ,3   ,0 ,2 ,0 ,64 ,10.9,71 ,7 ,7 ,0.33,20,1 ,0,0 ,0 ,0 ,0 ,0 ,17:27,2:08,2:07,16,15,0 ,7.42,
Eeli Tolvanen                                                 ,Nashville    ,LW/RW  ,24,7 ,6 ,13,0  ,6  ,2   ,2    ,4  ,0  ,0  ,0  ,1   ,0 ,2 ,0 ,48 ,14.6,45 ,3 ,1 ,0.33,12,3 ,0,0 ,0 ,0 ,0 ,0 ,15:12,2:09,0:04,15,15,0 ,7.21,
Mason Appleton                                                ,St. Louis    ,RW/C   ,29,7 ,6 ,13,5  ,16 ,2   ,2    ,4  ,0  ,0  ,0  ,1   ,1 ,1 ,0 ,46 ,15.2,64 ,2 ,7 ,0.18,19,8 ,0,0 ,0 ,0 ,0 ,0 ,14:26,1:43,0:14,19,14,0 ,6.48,
Nolan Patrick                                                 ,Pittsburgh   ,C      ,26,7 ,6 ,13,-4 ,18 ,0   ,1    ,1  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,41 ,17.1,46 ,3 ,5 ,0.52,10,9 ,0,0 ,0 ,0 ,0 ,0 ,14:23,0:48,0:04,17,21,1 ,6.54,
Evgeny Svechnikov                                             ,Calgary      ,RW/LW  ,23,6 ,7 ,13,3  ,14 ,1   ,2    ,3  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,62 ,9.7 ,56 ,9 ,4 ,0   ,8 ,7 ,0,0 ,0 ,0 ,0 ,0 ,13:44,1:36,0:02,13,10,0 ,7.48,
Evan Rodrigues                                                ,San Jose     ,RW/LW/C,29,6 ,7 ,13,-7 ,16 ,1   ,3    ,4  ,0  ,0  ,0  ,2   ,0 ,3 ,0 ,52 ,11.5,30 ,6 ,5 ,0.00,16,8 ,0,0 ,0 ,0 ,0 ,0 ,16:14,2:22,0:07,13,20,1 ,6.86,
Jordan Greenway                                               ,Dallas       ,LW/RW  ,26,6 ,7 ,13,-6 ,36 ,1   ,2    ,3  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,33 ,18.2,66 ,7 ,8 ,0   ,7 ,3 ,2,1 ,0 ,1 ,1 ,1 ,11:46,1:01,0:00,13,19,1 ,7.31,
Bryan Rust                                                    ,Pittsburgh   ,LW/RW  ,29,5 ,8 ,13,-16,8  ,2   ,2    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,63 ,7.9 ,57 ,12,15,0.29,21,4 ,0,0 ,0 ,0 ,0 ,0 ,16:57,1:59,1:05,17,33,0 ,6.97,
Charlie Walker                                                ,Arizona      ,LW/C   ,26,5 ,8 ,13,-1 ,25 ,0   ,0    ,0  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,36 ,13.9,71 ,7 ,3 ,0.11,14,10,1,0 ,0 ,0 ,1 ,1 ,12:54,0:07,0:23,14,15,2 ,7.23,
Jakob Chychrun                                                ,Arizona      ,LD     ,29,4 ,9 ,13,6  ,4  ,1   ,2    ,3  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,50 ,8.0 ,92 ,20,21,0   ,56,2 ,0,0 ,0 ,0 ,0 ,0 ,25:20,2:33,2:34,32,26,0 ,7.48,
Rasmus Sandin                                                 ,Toronto      ,LD     ,30,4 ,9 ,13,21 ,18 ,0   ,2    ,2  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,57 ,7.0 ,90 ,15,27,0   ,59,4 ,0,1 ,0 ,0 ,0 ,0 ,24:44,2:56,1:50,39,18,0 ,7.67,
Derek Stepan                                                  ,Boston       ,C      ,22,4 ,9 ,13,1  ,18 ,1   ,1    ,2  ,0  ,0  ,0  ,0   ,0 ,2 ,0 ,30 ,13.3,36 ,4 ,17,0.50,20,4 ,0,1 ,0 ,0 ,0 ,0 ,17:35,1:42,1:46,14,13,1 ,6.45,
Miles Wood                                                    ,NY Rangers   ,LW     ,26,4 ,9 ,13,-1 ,22 ,1   ,2    ,3  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,47 ,8.5 ,63 ,6 ,16,0.20,9 ,11,0,0 ,0 ,0 ,0 ,0 ,16:00,1:52,0:48,14,15,1 ,7.08,
Nicholas Griffith                                             ,Minnesota    ,LW     ,27,3 ,10,13,4  ,2  ,1   ,3    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,37 ,8.1 ,50 ,7 ,0 ,0   ,9 ,1 ,0,0 ,0 ,0 ,0 ,0 ,13:16,1:14,0:08,13,9 ,0 ,7.26,
Carter Savoie                                                 ,Buffalo      ,LW     ,28,3 ,10,13,0  ,2  ,0   ,1    ,1  ,0  ,0  ,0  ,2   ,0 ,2 ,0 ,30 ,10.0,37 ,2 ,2 ,0   ,2 ,1 ,0,0 ,0 ,0 ,0 ,0 ,10:03,0:12,0:00,13,13,1 ,7.25,
Quinn Hughes                                                  ,Vancouver    ,LD     ,29,3 ,10,13,3  ,6  ,2   ,4    ,6  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,61 ,4.9 ,42 ,21,9 ,0   ,55,3 ,0,0 ,0 ,0 ,0 ,0 ,25:53,2:54,3:43,24,21,0 ,7.28,
Marc-Édouard Vlasic                                           ,San Jose     ,LD     ,27,3 ,10,13,-4 ,25 ,1   ,2    ,3  ,0  ,1  ,1  ,0   ,0 ,0 ,0 ,31 ,9.7 ,65 ,25,38,0   ,69,5 ,1,0 ,0 ,1 ,0 ,0 ,24:35,1:44,3:19,22,26,0 ,7.19,
Oscar Klefbom                                                 ,Edmonton     ,LD     ,30,2 ,11,13,3  ,4  ,0   ,3    ,3  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,80 ,2.5 ,76 ,15,24,0   ,70,2 ,0,0 ,0 ,0 ,0 ,0 ,24:55,4:10,2:51,25,22,1 ,7.77,
Roman Josi                                                    ,Nashville    ,LD     ,18,2 ,11,13,9  ,6  ,2   ,2    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,48 ,4.2 ,34 ,8 ,18,0   ,43,3 ,0,0 ,0 ,0 ,0 ,0 ,22:47,3:49,2:27,20,11,3 ,8.17,
Alex Kerfoot                                                  ,Toronto      ,C/LW   ,23,2 ,11,13,8  ,8  ,0   ,2    ,2  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,29 ,6.9 ,20 ,3 ,4 ,0.46,25,4 ,0,0 ,0 ,0 ,0 ,0 ,16:39,2:30,0:43,17,9 ,0 ,6.57,
Brandon Montour                                               ,Florida      ,RD     ,25,1 ,12,13,10 ,8  ,0   ,5    ,5  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,63 ,1.6 ,51 ,12,14,0   ,50,4 ,0,0 ,0 ,0 ,0 ,0 ,23:52,2:53,2:26,20,10,1 ,7.64,
Rasmus Ristolainen                                            ,Buffalo      ,RD/LD  ,28,1 ,12,13,6  ,10 ,0   ,3    ,3  ,0  ,1  ,1  ,0   ,0 ,0 ,0 ,49 ,2.0 ,67 ,22,22,0   ,36,5 ,0,0 ,0 ,0 ,0 ,0 ,22:49,3:19,2:50,24,18,0 ,7.07,
Pavel Buchnevich                                              ,NY Rangers   ,RW/LW  ,28,8 ,4 ,12,-3 ,14 ,3   ,2    ,5  ,0  ,0  ,0  ,1   ,0 ,2 ,0 ,73 ,11.0,53 ,8 ,7 ,0.17,16,7 ,0,0 ,0 ,0 ,0 ,0 ,18:15,2:44,1:40,11,14,0 ,7.25,
Justin Almeida                                                ,Pittsburgh   ,C/LW   ,25,7 ,5 ,12,-2 ,12 ,4   ,0    ,4  ,0  ,0  ,0  ,2   ,0 ,3 ,0 ,25 ,28.0,36 ,8 ,2 ,0.41,19,6 ,0,0 ,0 ,0 ,0 ,0 ,12:57,1:17,0:02,13,15,1 ,6.80,
Andy D'Alessandro                                             ,Minnesota    ,C      ,27,7 ,5 ,12,-10,29 ,4   ,1    ,5  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,48 ,14.6,66 ,5 ,0 ,0.40,9 ,7 ,1,1 ,0 ,0 ,1 ,0 ,15:40,2:46,0:28,10,20,0 ,6.33,
Kaapo Kakko                                                   ,NY Rangers   ,RW     ,26,6 ,6 ,12,-5 ,6  ,2   ,1    ,3  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,62 ,9.7 ,58 ,11,2 ,0.00,18,3 ,0,0 ,0 ,0 ,0 ,0 ,14:47,1:52,0:36,13,18,1 ,7.08,
Mathias Laferrière                                            ,St. Louis    ,RW     ,25,6 ,6 ,12,-3 ,8  ,0   ,0    ,0  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,27 ,22.2,32 ,4 ,3 ,0.29,7 ,4 ,0,0 ,0 ,0 ,0 ,0 ,12:16,0:29,0:00,15,18,1 ,7.12,
David Pastrnák                                                ,Boston       ,RW     ,19,6 ,6 ,12,7  ,10 ,0   ,2    ,2  ,0  ,0  ,0  ,0   ,0 ,2 ,0 ,46 ,13.0,40 ,6 ,3 ,0.21,16,5 ,0,0 ,0 ,0 ,0 ,0 ,18:28,1:54,2:27,16,9 ,0 ,7.47,
Miroslav Pospisil                                             ,Washington   ,RW/C   ,28,6 ,6 ,12,2  ,14 ,2   ,3    ,5  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,66 ,9.1 ,52 ,15,4 ,0   ,19,7 ,0,0 ,0 ,0 ,0 ,0 ,15:49,1:44,0:32,14,12,0 ,7.04,
Ryan Hartman                                                  ,Minnesota    ,RW/C   ,27,6 ,6 ,12,-2 ,36 ,1   ,2    ,3  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,56 ,10.7,61 ,9 ,6 ,0.27,4 ,13,0,1 ,0 ,0 ,0 ,0 ,15:44,2:03,0:59,12,14,2 ,6.93,
Markus Granlund                                               ,St. Louis    ,LW/C/RW,28,5 ,7 ,12,4  ,4  ,0   ,1    ,1  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,38 ,13.2,25 ,6 ,7 ,0.09,9 ,2 ,0,0 ,0 ,0 ,0 ,0 ,13:08,0:23,0:34,12,8 ,0 ,7.00,
Jaccob Slavin                                                 ,Carolina     ,LD     ,27,5 ,7 ,12,-4 ,6  ,2   ,5    ,7  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,60 ,8.3 ,59 ,18,45,0   ,60,3 ,0,0 ,0 ,0 ,0 ,0 ,24:02,3:22,2:43,20,24,0 ,7.63,
Vincent Trocheck                                              ,Florida      ,C      ,23,5 ,7 ,12,4  ,14 ,1   ,3    ,4  ,0  ,0  ,0  ,1   ,1 ,1 ,0 ,50 ,10.0,37 ,4 ,11,0.57,15,7 ,0,0 ,0 ,0 ,0 ,0 ,18:10,2:26,1:35,14,10,1 ,6.87,
Calle Järnkrok                                                ,Tampa Bay    ,C/RW/LW,25,4 ,8 ,12,-8 ,6  ,1   ,0    ,1  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,24 ,16.7,40 ,12,7 ,0.57,9 ,3 ,0,0 ,0 ,0 ,0 ,0 ,12:31,0:32,0:03,12,20,0 ,7.04,
Artemi Panarin                                                ,NY Rangers   ,LW     ,28,4 ,8 ,12,-5 ,8  ,2   ,4    ,6  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,70 ,5.7 ,55 ,9 ,5 ,0.05,13,4 ,0,0 ,0 ,0 ,0 ,0 ,18:51,2:48,2:45,11,16,1 ,7.14,
Sasha Mutala                                                  ,Buffalo      ,RW     ,28,4 ,8 ,12,4  ,16 ,0   ,0    ,0  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,50 ,8.0 ,50 ,11,3 ,0   ,4 ,8 ,0,0 ,0 ,0 ,0 ,0 ,15:50,1:08,0:52,18,14,0 ,7.00,
Nikolai Prokhorkin                                            ,Los Angeles  ,C      ,27,4 ,8 ,12,4  ,18 ,0   ,0    ,0  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,28 ,14.3,37 ,7 ,2 ,0.57,11,9 ,0,0 ,0 ,0 ,0 ,0 ,14:22,0:55,0:26,23,19,0 ,6.44,
Joel Persson                                                  ,Edmonton     ,RD     ,22,3 ,9 ,12,0  ,2  ,1   ,3    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,34 ,8.8 ,24 ,6 ,9 ,0   ,18,1 ,0,0 ,0 ,0 ,0 ,0 ,21:00,4:12,1:05,12,12,0 ,7.27,
Hampus Lindholm                                               ,Anaheim      ,LD     ,28,3 ,9 ,12,6  ,6  ,0   ,2    ,2  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,49 ,6.1 ,62 ,26,29,0   ,61,3 ,0,0 ,0 ,0 ,0 ,0 ,24:25,2:13,3:38,24,18,0 ,7.14,
Troy Terry                                                    ,Anaheim      ,RW/C   ,26,3 ,9 ,12,2  ,14 ,0   ,4    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,33 ,9.1 ,20 ,2 ,2 ,0.14,25,7 ,0,0 ,0 ,0 ,0 ,0 ,14:50,1:52,0:06,13,11,0 ,6.23,
Andrew Shaw                                                   ,Buffalo      ,RW/C   ,28,3 ,9 ,12,7  ,23 ,0   ,0    ,0  ,0  ,0  ,0  ,0   ,1 ,1 ,0 ,50 ,6.0 ,53 ,4 ,6 ,0.13,15,9 ,1,0 ,0 ,0 ,1 ,1 ,13:56,0:15,0:36,23,16,0 ,7.18,
Drew Doughty                                                  ,Los Angeles  ,RD/LD  ,23,2 ,10,12,5  ,2  ,0   ,3    ,3  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,44 ,4.5 ,56 ,6 ,21,0   ,47,1 ,0,0 ,0 ,0 ,0 ,0 ,24:45,2:57,3:02,22,17,1 ,7.70,
Shayne Gostisbehere                                           ,Philadelphia ,RD/LD  ,26,2 ,10,12,0  ,6  ,2   ,5    ,7  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,61 ,3.3 ,30 ,15,12,0   ,42,3 ,0,0 ,0 ,0 ,0 ,0 ,24:13,2:56,2:37,22,22,1 ,7.42,
Jimmy Vesey                                                   ,Nashville    ,LW/RW  ,26,2 ,10,12,4  ,17 ,1   ,1    ,2  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,58 ,3.4 ,59 ,8 ,3 ,0.11,12,6 ,1,0 ,0 ,0 ,1 ,1 ,17:38,1:44,2:00,22,18,0 ,7.08,
Bode Wilde                                                    ,Arizona      ,RD/LD  ,28,1 ,11,12,12 ,0  ,0   ,2    ,2  ,0  ,1  ,1  ,0   ,0 ,0 ,0 ,32 ,3.1 ,48 ,14,0 ,0   ,42,0 ,0,0 ,0 ,0 ,0 ,0 ,21:01,2:47,1:28,30,18,1 ,7.07,
Ivan Provorov                                                 ,Philadelphia ,LD     ,27,1 ,11,12,-3 ,2  ,1   ,5    ,6  ,0  ,1  ,1  ,0   ,0 ,0 ,0 ,51 ,2.0 ,70 ,10,21,0   ,60,1 ,0,0 ,0 ,0 ,0 ,0 ,25:24,3:08,2:59,23,26,1 ,7.59,
Victor Hedman                                                 ,Tampa Bay    ,LD     ,28,1 ,11,12,6  ,6  ,0   ,4    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,65 ,1.5 ,79 ,16,37,0   ,57,3 ,0,0 ,0 ,0 ,0 ,0 ,24:42,3:12,2:57,21,15,1 ,7.71,
Matt Grzelcyk                                                 ,Boston       ,LD     ,26,1 ,11,12,2  ,6  ,0   ,5    ,5  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,46 ,2.2 ,15 ,10,10,0   ,35,3 ,0,0 ,0 ,0 ,0 ,0 ,21:13,2:29,1:46,20,18,0 ,7.23,
Jacob Trouba                                                  ,NY Rangers   ,RD/LD  ,28,1 ,11,12,-12,8  ,1   ,7    ,8  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,57 ,1.8 ,60 ,7 ,23,0   ,80,4 ,0,0 ,0 ,0 ,0 ,0 ,25:32,2:53,3:20,19,31,0 ,7.39,
Cam Fowler                                                    ,Los Angeles  ,LD/RD  ,27,1 ,11,12,-1 ,25 ,1   ,5    ,6  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,49 ,2.0 ,74 ,10,16,0   ,74,5 ,1,0 ,0 ,1 ,0 ,0 ,24:00,2:54,2:32,19,20,1 ,7.56,
Ben Hutton                                                    ,Los Angeles  ,LD     ,28,0 ,12,12,11 ,6  ,0   ,1    ,1  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,29 ,0.0 ,64 ,18,28,0   ,55,3 ,0,0 ,0 ,0 ,0 ,0 ,22:35,1:25,3:06,28,17,0 ,7.46,
Erik Gustafsson                                               ,Chicago      ,LD/RD  ,27,0 ,12,12,-3 ,6  ,0   ,8    ,8  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,50 ,0.0 ,32 ,9 ,18,0   ,78,3 ,0,0 ,0 ,0 ,0 ,0 ,24:24,2:40,3:13,20,23,0 ,7.15,
William Flynn                                                 ,Winnipeg     ,RW     ,28,9 ,2 ,11,-11,2  ,1   ,0    ,1  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,43 ,20.9,59 ,16,1 ,0   ,8 ,1 ,0,0 ,0 ,0 ,0 ,0 ,11:59,0:13,0:00,14,25,0 ,6.89,
Nikita Chibrikov                                              ,Columbus     ,C/RW/LW,27,6 ,5 ,11,1  ,8  ,1   ,1    ,2  ,0  ,0  ,0  ,0   ,1 ,0 ,0 ,33 ,18.2,17 ,5 ,0 ,0.36,5 ,4 ,0,0 ,0 ,0 ,0 ,0 ,13:12,1:17,0:02,18,17,0 ,6.37,
