League: National Hockey League - Season: 2024-25              ,Date: 12.3.24
--------------------------------------------------------------
Regular Season
--------------------------------------------------------------
Name                                                          ,Team         ,Pos    ,GP,G ,A ,P ,+/-,PIM,PPg ,PPa  ,PPp,SHg,SHa,SHp,GWG ,GT,FG,EN,SOG,Sh  ,HT ,GA,TA,FO  ,SB,2 ,5,Mi,Ma,GM,FI,FW,ATOI ,APPT,APKT,+ ,- ,FS,Av R,
Matt Duchene                                                  ,Nashville    ,C/RW   ,26,10,12,22,-1 ,8  ,2   ,2    ,4  ,0  ,0  ,0  ,3   ,0 ,1 ,0 ,75 ,13.3,42 ,10,5 ,0.58,21,4 ,0,0 ,0 ,0 ,0 ,0 ,17:36,2:24,0:57,22,23,2 ,7.12,
Max Pacioretty                                                ,Detroit      ,LW     ,24,10,12,22,14 ,12 ,3   ,3    ,6  ,0  ,0  ,0  ,1   ,1 ,2 ,0 ,71 ,14.1,48 ,3 ,9 ,0.00,20,6 ,0,0 ,0 ,0 ,0 ,0 ,17:42,3:02,1:12,22,8 ,3 ,7.96,
Jamie Benn                                                    ,Dallas       ,LW     ,26,9 ,13,22,13 ,16 ,2   ,3    ,5  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,73 ,12.3,68 ,9 ,13,0.33,24,8 ,0,0 ,0 ,0 ,0 ,0 ,18:45,3:11,2:24,27,14,0 ,7.81,
Jason Zucker                                                  ,Anaheim      ,RW/LW  ,28,9 ,13,22,4  ,16 ,2   ,3    ,5  ,0  ,0  ,0  ,1   ,1 ,1 ,0 ,83 ,10.8,53 ,19,9 ,0   ,14,8 ,0,0 ,0 ,0 ,0 ,0 ,17:32,2:07,0:51,19,15,1 ,7.21,
Travis Konecny                                                ,Philadelphia ,RW/LW/C,26,8 ,14,22,-4 ,35 ,1   ,3    ,4  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,67 ,11.9,36 ,17,0 ,0.13,14,10,1,1 ,0 ,0 ,1 ,0 ,17:50,2:55,1:08,19,23,1 ,7.15,
Nicklas Bäckström                                             ,Washington   ,C      ,28,5 ,17,22,3  ,14 ,4   ,4    ,8  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,38 ,13.2,61 ,6 ,14,0.57,33,7 ,0,0 ,0 ,0 ,0 ,0 ,18:33,2:06,2:12,18,15,2 ,7.25,
Mikko Rantanen                                                ,Colorado     ,RW     ,29,14,7 ,21,4  ,14 ,7   ,2    ,9  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,86 ,16.3,95 ,17,14,0.19,28,7 ,0,0 ,0 ,0 ,0 ,0 ,18:39,2:41,2:20,18,14,3 ,7.83,
Samuel Fagemo                                                 ,Los Angeles  ,LW/RW  ,27,13,8 ,21,7  ,12 ,2   ,0    ,2  ,0  ,0  ,0  ,2   ,1 ,1 ,0 ,73 ,17.8,80 ,9 ,3 ,0   ,3 ,6 ,0,0 ,0 ,0 ,0 ,0 ,15:34,1:53,0:09,22,15,4 ,7.56,
Kevin Fiala                                                   ,Toronto      ,LW/RW  ,30,11,10,21,13 ,14 ,0   ,1    ,1  ,0  ,0  ,0  ,2   ,1 ,1 ,0 ,71 ,15.5,45 ,9 ,5 ,0.00,13,7 ,0,0 ,0 ,0 ,0 ,0 ,16:55,2:37,0:33,25,12,2 ,7.30,
Tim Stützle                                                   ,New Jersey   ,LW/C   ,26,10,11,21,4  ,6  ,2   ,3    ,5  ,0  ,0  ,0  ,0   ,0 ,2 ,0 ,79 ,12.7,48 ,4 ,0 ,0.50,4 ,3 ,0,0 ,0 ,0 ,0 ,0 ,16:30,2:01,0:13,19,15,2 ,7.85,
